time	V(ph1)	I(L)
Step Information: Freq=60K  (Run: 1/3)
3.333349999999624e-005	1.000000e+000	3.617014e-001
3.333350009999611e-005	1.000000e+000	3.616999e-001
3.333350029999585e-005	1.000000e+000	3.616975e-001
3.333350069999533e-005	1.000000e+000	3.616933e-001
3.333350099999494e-005	1.000000e+000	3.616899e-001
3.335447241262571e-005	1.000000e+000	1.013700e-001
3.337544390525846e-005	1.000000e+000	-1.572079e-001
3.341738689052048e-005	1.000000e+000	-6.686608e-001
3.350127286104454e-005	1.000000e+000	-1.665722e+000
3.366793952771022e-005	1.000000e+000	-3.561818e+000
3.383460619437589e-005	1.000000e+000	-5.334603e+000
3.400127286104157e-005	1.000000e+000	-6.948407e+000
3.416793952770725e-005	1.000000e+000	-8.384003e+000
3.433460619437292e-005	1.000000e+000	-9.625896e+000
3.450127286103860e-005	1.000000e+000	-1.066242e+001
3.466793952770428e-005	1.000000e+000	-1.148575e+001
3.483460619436996e-005	1.000000e+000	-1.209186e+001
3.500127286103563e-005	1.000000e+000	-1.248045e+001
3.516793952770131e-005	1.000000e+000	-1.265473e+001
3.533460619436699e-005	1.000000e+000	-1.262128e+001
3.550127286103266e-005	1.000000e+000	-1.238974e+001
3.566793952769834e-005	1.000000e+000	-1.197255e+001
3.583460619436402e-005	1.000000e+000	-1.138464e+001
3.600127286102969e-005	1.000000e+000	-1.064302e+001
3.616793952769537e-005	1.000000e+000	-9.766480e+000
3.633460619436105e-005	1.000000e+000	-8.775158e+000
3.650127286102672e-005	1.000000e+000	-7.690180e+000
3.666793952769240e-005	1.000000e+000	-6.533266e+000
3.683460619435808e-005	1.000000e+000	-5.326350e+000
3.716793952768943e-005	1.000000e+000	-2.849158e+000
3.733460619435511e-005	1.000000e+000	-1.620635e+000
3.750127286102079e-005	1.000000e+000	-4.250010e-001
3.766793952768646e-005	1.000000e+000	7.197772e-001
3.783460619435214e-005	1.000000e+000	1.797345e+000
3.800127286101782e-005	1.000000e+000	2.793157e+000
3.816793952768349e-005	1.000000e+000	3.694630e+000
3.833460619434917e-005	1.000000e+000	4.491268e+000
3.850127286101485e-005	1.000000e+000	5.174733e+000
3.866793952768052e-005	1.000000e+000	5.738893e+000
3.883460619434620e-005	1.000000e+000	6.179820e+000
3.900127286101188e-005	1.000000e+000	6.495759e+000
3.916793952767755e-005	1.000000e+000	6.687060e+000
3.933460619434323e-005	1.000000e+000	6.756083e+000
3.950127286100891e-005	1.000000e+000	6.707070e+000
3.966793952767458e-005	1.000000e+000	6.545990e+000
3.983460619434026e-005	1.000000e+000	6.280371e+000
4.000127286100594e-005	1.000000e+000	5.919111e+000
4.016793952767161e-005	1.000000e+000	5.472266e+000
4.033460619433729e-005	1.000000e+000	4.950843e+000
4.050127286100297e-005	1.000000e+000	4.366577e+000
4.066793952766865e-005	1.000000e+000	3.731708e+000
4.083460619433432e-005	1.000000e+000	3.058761e+000
4.100127286100000e-005	1.000000e+000	2.360331e+000
4.133460619433135e-005	1.000000e+000	9.365107e-001
4.150640852770143e-005	1.000000e+000	2.079507e-001
4.154351786130744e-005	1.000000e+000	5.388268e-002
4.159636552836243e-005	1.000000e+000	-1.638537e-001
4.166650099999766e-005	1.000000e+000	-4.482027e-001
4.166650109999753e-005	1.000000e+000	-4.482031e-001
4.166650129999727e-005	1.000000e+000	-4.481018e-001
4.166650169999675e-005	1.000000e+000	-4.476807e-001
4.166650199999983e-005	1.000000e+000	-4.474414e-001
4.166666666666555e-005	1.000000e+000	-3.640907e-001
4.166666676666542e-005	1.000000e+000	-3.640401e-001
4.166666696666516e-005	1.000000e+000	-3.639857e-001
4.166666736666463e-005	1.000000e+000	-3.639773e-001
4.166666766666424e-005	1.000000e+000	-3.639358e-001
4.166666774666275e-005	1.000000e+000	-3.639141e-001
4.166666790666324e-005	8.333333e-001	-3.639203e-001
4.166666822666421e-005	2.894730e-001	-3.640196e-001
4.166666866666294e-005	0.000000e+000	-3.640759e-001
4.166683333333213e-005	0.000000e+000	-3.617014e-001
4.166683343333200e-005	0.000000e+000	-3.616999e-001
4.166683363333174e-005	0.000000e+000	-3.616974e-001
4.166683403333121e-005	0.000000e+000	-3.616933e-001
4.166683433333082e-005	0.000000e+000	-3.616899e-001
4.168780574596159e-005	0.000000e+000	-1.013700e-001
4.170877723859434e-005	0.000000e+000	1.572079e-001
4.175072022385637e-005	0.000000e+000	6.686608e-001
4.183460619438043e-005	0.000000e+000	1.665722e+000
4.200127286104610e-005	0.000000e+000	3.561818e+000
4.216793952771178e-005	0.000000e+000	5.334603e+000
4.233460619437746e-005	0.000000e+000	6.948407e+000
4.250127286104313e-005	0.000000e+000	8.384003e+000
4.266793952770881e-005	0.000000e+000	9.625896e+000
4.283460619437449e-005	0.000000e+000	1.066242e+001
