time	V(nc1t,nc1b)	V(n001)
Step Information: Iload=0  (Run: 1/6)
4.126668566674374e-006	2.058347e+001	5.002488e+001
4.166666566669808e-006	2.059546e+001	5.002358e+001
4.166666666666208e-006	2.059546e+001	5.002358e+001
4.166666866665947e-006	2.059546e+001	5.002358e+001
4.166667266665425e-006	2.059546e+001	5.002358e+001
4.166667566668503e-006	2.059546e+001	5.002358e+001
4.717220123857946e-006	2.075287e+001	5.000768e+001
5.050553457189300e-006	2.084112e+001	4.999987e+001
5.183886790521841e-006	2.087490e+001	4.999715e+001
5.250553457188112e-006	2.089146e+001	4.999588e+001
5.517220123853195e-006	2.095553e+001	4.999137e+001
6.050553457183361e-006	2.107307e+001	4.998524e+001
6.250000900001607e-006	2.111342e+001	4.998394e+001
6.250001000004946e-006	2.111342e+001	4.998394e+001
6.250001200004685e-006	2.111342e+001	4.998394e+001
6.250001600004163e-006	2.111342e+001	4.998394e+001
6.250001900000302e-006	2.111342e+001	4.998394e+001
6.289999900002674e-006	2.112123e+001	4.998375e+001
6.290000000006013e-006	2.112123e+001	4.998375e+001
6.290000200005752e-006	2.111992e+001	4.998375e+001
6.290000600005230e-006	2.111505e+001	4.998375e+001
6.290000900001369e-006	2.111337e+001	4.998375e+001
6.973886790523354e-006	2.111337e+001	4.997577e+001
7.640553457186061e-006	2.111337e+001	4.995857e+001
8.293334233334948e-006	2.111337e+001	4.993301e+001
8.293334333331348e-006	2.111337e+001	4.993301e+001
8.293334533331087e-006	2.111098e+001	4.993301e+001
8.293334933330565e-006	2.110207e+001	4.993301e+001
8.293335233333643e-006	2.109899e+001	4.993301e+001
8.333333233336016e-006	2.108488e+001	4.993502e+001
8.333333333332416e-006	2.108488e+001	4.993502e+001
8.333333533332155e-006	2.108488e+001	4.993502e+001
8.333333933331633e-006	2.108488e+001	4.993502e+001
8.333334233334711e-006	2.108488e+001	4.993502e+001
9.083886790522966e-006	2.084978e+001	4.997327e+001
9.350553457188049e-006	2.077990e+001	4.998702e+001
9.617220123853132e-006	2.071724e+001	5.000079e+001
1.037666856666675e-005	2.057850e+001	5.003986e+001
1.041666756666781e-005	2.057280e+001	5.004190e+001
1.041666766667115e-005	2.057280e+001	5.004190e+001
1.041666786667089e-005	2.057280e+001	5.004190e+001
1.041666826667037e-005	2.057280e+001	5.004190e+001
1.041666856666651e-005	2.057280e+001	5.004190e+001
1.045666656666888e-005	2.056733e+001	5.004395e+001
1.045666666667222e-005	2.056733e+001	5.004395e+001
1.045666686667196e-005	2.056826e+001	5.004395e+001
1.045666726667144e-005	2.057170e+001	5.004395e+001
1.045666756666758e-005	2.057290e+001	5.004395e+001
1.100722012385702e-005	2.057289e+001	5.004800e+001
1.147388679052092e-005	2.057290e+001	5.004588e+001
1.180722012385227e-005	2.057290e+001	5.004124e+001
1.246000090000116e-005	2.057290e+001	5.002471e+001
1.246000100000450e-005	2.057290e+001	5.002471e+001
1.246000120000423e-005	2.057492e+001	5.002471e+001
1.246000160000371e-005	2.058243e+001	5.002471e+001
